PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,REAGENT_ID,ENTREZ_GENE_ID,NCBI_GENE_SYMBOL,PLATE,WELL,HMBEC_ AVERAGE_AREA,HMBEC_ AVERAGE_INTENSITY,HMBEC_ AVERAGE_TOTAL_INTENSITY,HMBEC_ AVERAGE_INTENSITY_STDDEV,HMBEC_ AVERAGE_PERIMETER,HMBEC_ AVERAGE_SHAPE_FACTOR,HMBEC_ AVERAGE_ELLIPTICAL_FORM_FACTOR,HMBEC_ AVERAGE_LENGTH,HMBEC_ AVERAGE_BREADTH,HMBEC_ AVERAGE_TEXTURE_DIFFERENCE_MOMENT,HMBEC_ AVERAGE_TEXTURE_INVERSE_DIFFERENCE_MOMENT,HMBEC_ AVERAGE_NUMBER_CELLS_MEASURED,HDLEC_ AVERAGE_AREA,HDLEC_ AVERAGE_INTENSITY,HDLEC_ AVERAGE_TOTAL_INTENSITY,HDLEC_ AVERAGE_INTENSITY_STDDEV,HDLEC_ AVERAGE_PERIMETER,HDLEC_ AVERAGE_SHAPE_FACTOR,HDLEC_ AVERAGE_ELLIPTICAL_FORM_FACTOR,HDLEC_ AVERAGE_LENGTH,HDLEC_ AVERAGE_BREADTH,HDLEC_ AVERAGE_TEXTURE_DIFFERENCE_MOMENT,HDLEC_ AVERAGE_TEXTURE_INVERSE_DIFFERENCE_MOMENT,HDLEC_ AVERAGE_NUMBER_CELLS_MEASURED,HMBEC_ ZSCORE_AREA,HMBEC_ ZSCORE_INTENSITY,HMBEC_ ZSCORE_TOTAL_INTENSITY,HMBEC_ ZSCORE_INTENSITY_STDDEV,HMBEC_ ZSCORE_PERIMETER,HMBEC_ ZSCORE_SHAPE_FACTOR,HMBEC_ ZSCORE_ELLIPTICAL_FORM_FACTOR,HMBEC_ ZSCORE_LENGTH,HMBEC_ ZSCORE_BREADTH,HMBEC_ ZSCORE_TEXTURE_DIFFERENCE_MOMENT,HMBEC_ ZSCORE_TEXTURE_INVERSE_DIFFERENCE_MOMENT,HDLEC_ ZSCORE_AREA,HDLEC_ ZSCORE_INTENSITY,HDLEC_ ZSCORE_TOTAL_INTENSITY,HDLEC_ ZSCORE_INTENSITY_STDDEV,HDLEC_ ZSCORE_PERIMETER,HDLEC_ ZSCORE_SHAPE_FACTOR,HDLEC_ ZSCORE_ELLIPTICAL_FORM_FACTOR,HDLEC_ ZSCORE_LENGTH,HDLEC_ ZSCORE_BREADTH,HDLEC_ ZSCORE_TEXTURE_DIFFERENCE_MOMENT,HDLEC_ ZSCORE_TEXTURE_INVERSE_DIFFERENCE_MOMENT,HDLEC_MORPHOLOGY_CLUSTER
130,313054053,,Unspecified,,,,M-031997-00,390212,GPR152,2,E07,10019.4,1147.25,1.12023e+07,472.52,449.557,0.604984,1.47224,153.849,108.326,0.679093,0.831932,95.5,6220.12,1014.3,6.27083e+06,413.707,344.921,0.636015,1.3923,117.009,87.1387,0.833423,0.799323,141.75,0.08,-1.24,-0.95,0.29,0.11,0.51,-0.79,-0.07,0.49,-0.79,0.58,-0.2,-1.44,-1.41,-0.32,-0.36,1.4,-1.63,-0.68,0.31,-1.5,0.74,5
131,313053915,,Unspecified,,,,M-005057-01,998,CDC42,2,H02,8322.47,1990.98,1.53849e+07,540.351,409.186,0.58395,1.58353,143.477,94.8481,0.715737,0.831259,145.25,6030.45,987.859,5.43076e+06,449.793,346.627,0.590394,1.52042,119.448,83.0119,0.799883,0.808416,154,-0.97,1.65,0.4,1.22,-1,-0.6,0.64,-0.86,-1.24,-0.38,0.54,-0.15,-1.67,-2,0.05,-0.05,-1.53,1.58,0,-0.57,-0.72,0.31,6
132,313053917,,Unspecified,,,,M-006155-00,1186,CLCN7,1,B10,11577.8,1551.04,1.79637e+07,484.707,490.565,0.587379,1.586,171.074,112.969,0.932212,0.805844,45,7067.33,1406.6,9.537e+06,376.666,373.901,0.60043,1.49389,129.354,89.1082,1.0302,0.781878,129.5,1.05,0.14,1.23,0.46,1.24,-0.42,0.68,1.25,1.09,2.02,-0.9,1.78,0.06,1.13,-0.41,1.87,-0.57,0.52,1.93,1.61,0.15,-0.4,6
133,313053918,,Unspecified,,,,M-007532-01,1318,SLC31A2,2,B06,10511.4,1560.42,1.60154e+07,473.989,448.304,0.626606,1.4495,154.339,109.5,0.701209,0.830147,80.5,6519.74,1497.16,9.31858e+06,453.79,361.88,0.602027,1.49318,125.766,87.2923,0.884838,0.800176,129,0.39,0.17,0.61,0.31,0.08,1.65,-1.09,-0.03,0.64,-0.55,0.48,0.93,0.16,0.46,0.47,1.03,-0.38,0.68,1.2,0.8,-0.06,0.21,6
134,313053927,,Unspecified,,,,M-006366-02,2629,GBA,1,E03,8001.49,1307.48,1.02813e+07,397.085,396.433,0.61664,1.45315,135.956,97.3414,0.734159,0.822978,148.5,5974.62,1383.24,8.0829e+06,404.192,344.946,0.599794,1.48267,119.024,83.3751,0.909027,0.797299,207.5,-1.17,-0.69,-1.24,-0.74,-1.35,1.13,-1.04,-1.44,-0.92,-0.18,0.08,0.01,-0.28,-0.33,-0.19,0.06,-0.53,0.45,0.08,-0.14,0.25,0.04,6
135,313053930,,Unspecified,,,,M-010825-02,2778,GNAS,2,E10,10282.4,1484.06,1.5501e+07,476.569,458.263,0.592428,1.56724,160.38,105.349,0.703623,0.825184,86,5676.74,1408.6,7.97204e+06,466.017,340.96,0.587876,1.53847,118.645,80.6149,0.821622,0.813039,154.75,0.25,-0.09,0.44,0.34,0.35,-0.15,0.43,0.43,0.11,-0.52,0.2,-0.5,-0.18,-0.4,0.64,-0.16,-1.32,1.67,0.02,-0.79,-0.87,0.95,6
136,313053937,,Unspecified,,,,M-007730-02,3984,LIMK1,1,E11,7914.48,1331.17,9.81237e+06,342.026,400.897,0.576309,1.58046,139.501,91.7012,0.866509,0.79633,135.75,5657.2,1445.7,8.1423e+06,365.296,337.023,0.599654,1.48213,116.429,81.1043,0.882281,0.786924,197.75,-1.24,-0.56,-1.38,-1.57,-1.31,-0.75,0.59,-1.23,-1.69,1.53,-1.67,-0.53,-0.04,-0.29,-0.71,-0.39,-0.54,0.44,-0.35,-0.68,-0.09,-0.56,6
137,313053938,,Unspecified,,,,M-008970-01,4023,LPL,1,F03,10104.2,1050.68,1.02885e+07,299.998,456.415,0.588999,1.5282,158.287,106.925,0.821452,0.793374,117.5,6253.28,1158.12,7.13012e+06,368.891,359.542,0.580284,1.525,124.903,84.9865,0.826567,0.80093,174.5,0.14,-1.57,-1.24,-2.07,0.3,-0.34,-0.07,0.27,0.31,0.79,-1.6,0.48,-1.16,-0.93,-0.66,0.9,-1.83,1.38,1.05,0.25,-0.81,0.25,6
138,313053941,,Unspecified,,,,M-009584-02,4776,NFATC4,2,F08,8169,1401.92,1.07917e+07,442.046,417.466,0.554438,1.65627,147.094,93.7973,0.800008,0.814182,128.5,5656.88,1201.74,6.47026e+06,458.789,340.851,0.586737,1.57956,118.901,79.5321,0.813699,0.814132,146,-1.07,-0.37,-1.08,-0.13,-0.77,-2.16,1.58,-0.59,-1.38,0.55,-0.42,-0.53,-0.99,-1.35,0.54,-0.17,-1.4,2.57,0.06,-1.05,-0.98,1.02,6
139,313053954,,Unspecified,,,,M-020909-00,6324,SCN1B,2,B05,10659.2,1699.87,1.82534e+07,485.021,455.193,0.611781,1.4481,155.334,110.449,0.811951,0.824138,91.75,6897.48,1513.69,1.05521e+07,425.753,371.873,0.603934,1.4836,128.294,89.7814,0.86425,0.798783,168,0.48,0.65,1.33,0.46,0.27,0.87,-1.1,0.05,0.76,0.68,0.14,1.57,0.23,1.24,0.1,1.6,-0.26,0.47,1.62,1.39,-0.32,0.13,6
140,313053955,,Unspecified,,,,M-011774-01,6404,SELPLG,2,A05,9614.46,1924.62,1.8103e+07,619.939,434.684,0.614277,1.45468,149.476,105.903,0.563721,0.853871,78.25,6968.81,1756.54,1.20058e+07,487.461,377.306,0.590274,1.48039,130.13,89.9458,0.907515,0.787951,170,-0.17,1.42,1.28,2.3,-0.3,1,-1.02,-0.4,0.18,-2.07,1.83,1.7,1.17,2.16,0.92,1.91,-1.16,0.4,1.92,1.43,0.23,-0.5,6
141,313053956,,Unspecified,,,,M-005376-00,6725,SRMS,2,G08,9876.66,1441.81,1.39782e+07,402.9,454.074,0.578847,1.61348,160.584,102.772,0.679757,0.832729,86.25,5930.39,1428.5,8.44643e+06,339.636,344.713,0.600895,1.48933,119.483,83.5118,0.889198,0.79459,195.75,0,-0.23,-0.05,-0.66,0.23,-0.87,1.03,0.45,-0.22,-0.78,0.63,-0.07,-0.1,-0.1,-1.05,0.05,-0.46,0.59,0.16,-0.1,0,-0.12,6
142,313053957,,Unspecified,,,,M-005238-00,7022,TFAP2C,2,C02,12753.3,1473.54,1.80346e+07,453.159,508.651,0.590391,1.56709,176.258,116.479,0.820623,0.806241,66.5,7688.64,1405.15,1.10387e+07,424.087,391.833,0.605041,1.47241,134.221,95.4797,0.895436,0.792106,130,1.52,-0.2,0.93,-0.05,1.48,-0.19,0.32,1.38,1.34,0.72,-0.76,2.92,-0.19,1.54,0.08,2.74,-0.18,0.22,2.6,2.75,0.08,-0.26,6
143,313053965,,Unspecified,,,,M-010143-00,8639,AOC3,1,A04,8270.5,1461.78,1.23592e+07,418.57,405.767,0.602881,1.48836,139.773,96.9976,0.861852,0.806416,173,5794.28,1331.39,8.13305e+06,398.516,345.069,0.589216,1.53815,120.181,81.2239,0.831299,0.803612,222.25,-1,-0.16,-0.57,-0.45,-1.1,0.4,-0.58,-1.15,-0.97,1.24,-0.86,-0.3,-0.48,-0.29,-0.26,0.07,-1.23,1.66,0.27,-0.65,-0.75,0.41,6
144,313053979,,Unspecified,,,,M-013680-01,10482,NXF1,1,G02,9281.84,1329.5,1.18567e+07,394.961,449.619,0.547236,1.72104,160.547,97.3754,0.817337,0.808266,118.25,6186.31,1695.92,1.05834e+07,423.006,357.317,0.588535,1.52673,124.472,84.4169,0.853385,0.80173,187.75,-0.37,-0.61,-0.74,-0.77,0.11,-2.54,2.42,0.45,-0.92,0.74,-0.76,0.37,0.94,1.26,0.06,0.77,-1.28,1.41,0.98,0.11,-0.46,0.3,6
145,313053994,,Unspecified,,,,M-020535-01,26140,TTLL3,2,C05,9457.53,1430.53,1.31005e+07,494.492,435.526,0.597182,1.45658,148.825,105.119,0.654889,0.834695,77.25,5751.78,1259.75,7.09994e+06,454.923,345.511,0.584114,1.50807,119.617,82.8739,0.920412,0.79186,176,-0.07,-0.15,-0.17,0.61,-0.09,0.29,-0.93,-0.28,0.23,-1,0.53,-0.37,-0.76,-0.95,0.49,0.1,-1.57,1,0.18,-0.26,0.4,-0.27,6
146,313053995,,Unspecified,,,,M-012433-01,26272,FBXO4,1,D08,8502.86,1206.64,9.38074e+06,370.246,418.687,0.58094,1.56172,146.337,96.6876,0.812129,0.804448,145,5743.95,1194.19,6.69689e+06,401.546,340.363,0.599243,1.48178,117.26,82.3021,0.863783,0.806267,183,-0.86,-1.03,-1.53,-1.11,-0.74,-0.76,0.36,-0.64,-1.01,0.69,-0.98,-0.39,-1.01,-1.2,-0.22,-0.2,-0.57,0.43,-0.21,-0.39,-0.33,0.56,6
147,313053996,,Unspecified,,,,M-005039-02,27148,STK36,2,A07,9220.66,2107.71,1.83122e+07,524.188,445.703,0.559877,1.67598,157.856,97.033,0.639344,0.847431,111,6478.72,1646.56,1.05339e+07,427.887,360.656,0.604593,1.46658,124.689,87.6848,0.85657,0.798926,200.5,-0.41,2.04,1.35,0.99,0,-1.88,1.84,0.24,-0.96,-1.23,1.46,0.86,0.75,1.23,0.13,0.96,-0.21,0.09,1.02,0.89,-0.42,0.14,6
148,313053997,,Unspecified,,,,M-014747-01,27439,CECR6,2,D10,10275.8,1514.94,1.42875e+07,416.471,466.41,0.562597,1.64753,164.373,102.887,0.81209,0.807976,85.75,6672.25,1409.87,9.40387e+06,424.843,368.296,0.596031,1.5046,127.931,88.4067,0.842223,0.805637,162,0.24,0.02,0.05,-0.48,0.57,-1.73,1.47,0.74,-0.21,0.69,-0.78,1.19,-0.18,0.51,0.09,1.4,-0.78,0.93,1.56,1.07,-0.61,0.52,6
149,313054007,,Unspecified,,,,M-005078-00,55224,ETNK2,2,E04,10990.2,1648.84,1.77415e+07,393.824,479.645,0.584786,1.53388,165.804,111.34,0.789753,0.799942,76.75,6461.28,1633.81,1.01328e+07,460.444,364.967,0.57814,1.55061,126.925,84.7398,0.831238,0.808884,162,0.69,0.48,1.16,-0.79,0.94,-0.56,0,0.85,0.88,0.44,-1.23,0.83,0.7,0.97,0.56,1.21,-1.97,1.94,1.39,0.19,-0.75,0.71,6
150,313054017,,Unspecified,,,,M-013736-00,64748,LPPR2,1,F02,10250.3,1433.43,1.43865e+07,439.687,458.293,0.594021,1.58117,161.54,106.265,0.724606,0.818172,115.5,6400.31,1645.33,1.0505e+07,497.065,360.785,0.589966,1.5228,125.975,85.4121,0.884211,0.804835,182.5,0.23,-0.26,0.08,-0.16,0.35,-0.07,0.61,0.52,0.22,-0.29,-0.2,0.73,0.74,1.21,1.05,0.97,-1.18,1.33,1.23,0.35,-0.07,0.48,6
151,313054018,,Unspecified,,,,M-007194-01,64750,SMURF2,2,B03,11645.1,1511.63,1.71308e+07,486.051,491.088,0.581704,1.58053,171.13,113.074,0.672995,0.832626,81.5,6683.89,1486.22,9.97085e+06,452.87,371.056,0.586861,1.53369,129.096,88.2272,0.893228,0.797708,164,1.1,0.01,0.96,0.47,1.25,-0.72,0.61,1.26,1.1,-0.86,0.62,1.21,0.12,0.87,0.46,1.56,-1.39,1.57,1.75,1.02,0.05,0.07,6
152,313054031,,Unspecified,,,,M-016089-02,126259,TMIGD2,2,C03,9245.69,1483.94,1.34004e+07,408.686,441.199,0.576364,1.57198,153.428,101.588,0.781313,0.811564,140,6918.93,1348.04,9.24078e+06,334.367,375.94,0.598222,1.45711,128.91,91.5702,0.907031,0.777263,207,-0.4,-0.09,-0.24,-0.58,-0.12,-1,0.5,-0.1,-0.38,0.34,-0.57,1.61,-0.42,0.41,-1.12,1.83,-0.64,-0.11,1.72,1.82,0.23,-1.12,6
153,313054032,,Unspecified,,,,M-015299-00,126308,MOB3A,1,F09,10522.9,1448.04,1.37732e+07,461.468,472.262,0.571253,1.63102,165.934,106.943,0.725085,0.831541,61,6431.95,1183.12,7.39772e+06,402.693,361.964,0.596559,1.51898,125.16,86.7126,0.833211,0.815132,138.5,0.4,-0.21,-0.12,0.14,0.74,-1.27,1.26,0.86,0.31,-0.28,0.56,1.08,-0.79,-0.44,-0.12,1.36,-0.98,1.42,1.43,0.89,-0.78,1.07,6
