PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,REAGENT_ID,ENTREZ_GENE_ID,NCBI_GENE_SYMBOL,PLATE,WELL,HMBEC_ AVERAGE_AREA,HMBEC_ AVERAGE_INTENSITY,HMBEC_ AVERAGE_TOTAL_INTENSITY,HMBEC_ AVERAGE_INTENSITY_STDDEV,HMBEC_ AVERAGE_PERIMETER,HMBEC_ AVERAGE_SHAPE_FACTOR,HMBEC_ AVERAGE_ELLIPTICAL_FORM_FACTOR,HMBEC_ AVERAGE_LENGTH,HMBEC_ AVERAGE_BREADTH,HMBEC_ AVERAGE_TEXTURE_DIFFERENCE_MOMENT,HMBEC_ AVERAGE_TEXTURE_INVERSE_DIFFERENCE_MOMENT,HMBEC_ AVERAGE_NUMBER_CELLS_MEASURED,HDLEC_ AVERAGE_AREA,HDLEC_ AVERAGE_INTENSITY,HDLEC_ AVERAGE_TOTAL_INTENSITY,HDLEC_ AVERAGE_INTENSITY_STDDEV,HDLEC_ AVERAGE_PERIMETER,HDLEC_ AVERAGE_SHAPE_FACTOR,HDLEC_ AVERAGE_ELLIPTICAL_FORM_FACTOR,HDLEC_ AVERAGE_LENGTH,HDLEC_ AVERAGE_BREADTH,HDLEC_ AVERAGE_TEXTURE_DIFFERENCE_MOMENT,HDLEC_ AVERAGE_TEXTURE_INVERSE_DIFFERENCE_MOMENT,HDLEC_ AVERAGE_NUMBER_CELLS_MEASURED,HMBEC_ ZSCORE_AREA,HMBEC_ ZSCORE_INTENSITY,HMBEC_ ZSCORE_TOTAL_INTENSITY,HMBEC_ ZSCORE_INTENSITY_STDDEV,HMBEC_ ZSCORE_PERIMETER,HMBEC_ ZSCORE_SHAPE_FACTOR,HMBEC_ ZSCORE_ELLIPTICAL_FORM_FACTOR,HMBEC_ ZSCORE_LENGTH,HMBEC_ ZSCORE_BREADTH,HMBEC_ ZSCORE_TEXTURE_DIFFERENCE_MOMENT,HMBEC_ ZSCORE_TEXTURE_INVERSE_DIFFERENCE_MOMENT,HDLEC_ ZSCORE_AREA,HDLEC_ ZSCORE_INTENSITY,HDLEC_ ZSCORE_TOTAL_INTENSITY,HDLEC_ ZSCORE_INTENSITY_STDDEV,HDLEC_ ZSCORE_PERIMETER,HDLEC_ ZSCORE_SHAPE_FACTOR,HDLEC_ ZSCORE_ELLIPTICAL_FORM_FACTOR,HDLEC_ ZSCORE_LENGTH,HDLEC_ ZSCORE_BREADTH,HDLEC_ ZSCORE_TEXTURE_DIFFERENCE_MOMENT,HDLEC_ ZSCORE_TEXTURE_INVERSE_DIFFERENCE_MOMENT,HDLEC_MORPHOLOGY_CLUSTER
100,313053968,,Unspecified,,,,M-012627-01,8933,FAM127A,1,D07,9358.43,1432.48,1.28978e+07,436.4,436.122,0.595858,1.52387,151.518,103.232,0.800698,0.809882,122,5975.27,1284.91,7.70813e+06,311.115,343.736,0.607237,1.48529,118.962,82.8511,1.0853,0.760686,209.75,-0.33,-0.26,-0.4,-0.2,-0.26,0.03,-0.13,-0.25,-0.17,0.56,-0.67,0.01,-0.66,-0.56,-1.43,-0.01,-0.04,0.51,0.07,-0.26,2.53,-2.08,4
101,313053983,,Unspecified,,,,M-004674-01,11329,STK38,2,A08,10581,1732.14,1.80848e+07,433.578,476.784,0.5616,1.72997,171.092,101.83,0.790793,0.813348,84,5914.85,1421.56,8.31452e+06,361.002,341.452,0.605474,1.48791,118.677,82.3606,0.925598,0.774535,166.5,0.43,0.76,1.27,-0.24,0.86,-1.78,2.54,1.26,-0.35,0.45,-0.47,-0.09,-0.13,-0.18,-0.76,-0.14,-0.15,0.56,0.02,-0.38,0.47,-1.28,4
102,313054003,,Unspecified,,,,M-015938-00,54471,SMCR7L,2,B04,9752.41,1333.01,1.29814e+07,483.904,438.996,0.612836,1.54611,153.422,102.497,0.757168,0.834917,91.25,5396.42,1124.12,6.08491e+06,326.756,323.972,0.619359,1.46401,112.42,79.1612,1.0526,0.767075,211.5,-0.08,-0.6,-0.37,0.44,-0.18,0.92,0.16,-0.1,-0.26,0.08,0.75,-0.33,-1.38,-1.41,-1.17,-0.23,-0.13,0.32,-0.11,-0.35,1.63,-1.46,4
103,313054008,,Unspecified,,,,M-021064-02,55250,ELP2,1,D04,9403.29,1422.98,1.28138e+07,431.49,435.215,0.597359,1.48969,150.139,104.378,0.758106,0.824978,132,6107.33,1171.56,7.32833e+06,302.51,340.116,0.622622,1.40139,115.51,84.9894,0.970479,0.775096,205.75,-0.3,-0.29,-0.43,-0.27,-0.29,0.11,-0.57,-0.35,-0.02,0.09,0.19,-0.62,-1.35,-1.38,-1.62,-0.9,1.2,-1.33,-0.97,-0.33,1.14,-1.37,4
104,313054015,,Unspecified,,,,M-013497-01,64332,NFKBIZ,1,F11,8236.89,979.266,7.50988e+06,302.25,403.647,0.594079,1.49838,139.147,96.2376,0.941168,0.797268,80.5,5538.11,1390.66,7.62182e+06,370.335,333.054,0.602923,1.46386,115.337,81.5521,0.929727,0.784784,181,-0.76,-1.82,-1.94,-1.95,-0.71,0.07,-0.64,-0.74,-0.52,1.38,-1.03,-0.73,-0.25,-0.62,-0.64,-0.62,-0.32,0.04,-0.53,-0.57,0.52,-0.68,4
105,313054025,,Unspecified,,,,M-018193-01,84659,RNASE7,2,A03,9661.03,1803.18,1.70128e+07,492.351,442.371,0.585383,1.5213,152.242,103.077,0.756993,0.825668,120.25,5690.06,1497.19,8.63896e+06,392.205,333.057,0.603111,1.43737,114,81.6823,1.1375,0.752159,219,-0.14,1,0.93,0.56,-0.09,-0.53,-0.16,-0.19,-0.19,0.07,0.23,0.04,0.18,0.34,-0.17,0,-0.12,-0.74,-0.1,0.19,2.64,-2.43,4
106,313054026,,Unspecified,,,,M-014985-01,84842,HPDL,2,D04,8770.98,1381.66,1.18408e+07,373.971,428.354,0.573704,1.61371,151.314,97.1509,0.816584,0.802052,100.75,5239.02,1218.83,6.37529e+06,327.051,327.589,0.585256,1.53646,114.675,78.1008,1.07929,0.756521,185,-0.69,-0.44,-0.74,-1.06,-0.47,-1.14,1.03,-0.26,-0.95,0.74,-1.11,-1.24,-0.92,-1.41,-1.22,-0.93,-1.5,1.63,-0.64,-1.39,2.45,-2.32,4
107,313054030,,Unspecified,,,,M-023299-00,124842,TMEM132E,2,C04,10774,1312.86,1.32471e+07,412.619,458.423,0.616683,1.43297,155.905,111.9,0.714555,0.829378,84,5500.32,868.272,4.65238e+06,311.308,332.218,0.604161,1.43877,114.224,81.6934,1.04859,0.767083,169.25,0.55,-0.67,-0.29,-0.53,0.35,1.13,-1.3,0.09,0.95,-0.4,0.44,-0.8,-2.28,-2.5,-1.43,-0.66,-0.24,-0.51,-0.71,-0.54,2.06,-1.71,4
108,313054033,,Unspecified,,,,M-024028-01,126541,OR10H4,1,G04,9247.85,1236.68,1.12987e+07,365.6,435.244,0.59545,1.51034,151.067,103.184,0.753766,0.808585,131,5310.52,1224.13,6.58185e+06,336.422,324.894,0.611648,1.43058,111.484,80.5791,0.942498,0.787035,235.75,-0.4,-0.93,-0.92,-1.17,-0.28,0.01,-0.3,-0.28,-0.17,0.04,-0.74,-1.12,-0.9,-1.28,-1.09,-1.08,0.26,-0.69,-1.17,-0.8,0.69,-0.55,4
109,313054035,,Unspecified,,,,M-032279-02,140564,APOBEC3D,2,D08,9568.89,1339.2,1.27017e+07,371.341,442.368,0.576097,1.62539,155.564,99.2141,0.818023,0.804603,112.25,5671.86,1219.81,6.85861e+06,369.958,336.049,0.60234,1.48466,116.393,81.4649,0.935002,0.789218,177,-0.01,-0.08,0.01,-1,0.23,-1.5,1.65,0.48,-0.5,0.6,-0.9,-0.51,-0.91,-1.1,-0.65,-0.45,-0.36,0.49,-0.36,-0.59,0.59,-0.43,4
110,313054042,,Unspecified,,,,M-010755-00,152189,CMTM8,1,C04,10770.6,1327.48,1.26804e+07,434.136,466.741,0.576327,1.54006,161.226,108.389,0.779884,0.814672,100,5284.2,1366.3,7.42245e+06,370.175,322.743,0.60851,1.44505,111.233,79.4025,0.993952,0.769724,254.75,0.55,-0.62,-0.47,-0.24,0.58,-1.01,0.08,0.5,0.5,0.33,-0.4,-1.17,-0.34,-0.74,-0.64,-1.21,0.05,-0.38,-1.21,-1.08,1.35,-1.56,4
111,313054049,,Unspecified,,,,M-010966-01,337876,CHSY3,1,C02,8627.45,1360.7,1.16055e+07,389.536,419.975,0.59267,1.52434,146.278,99.1463,0.837038,0.805128,158.5,5496.77,1285.04,7.07412e+06,334.015,329.925,0.604465,1.47443,114.187,79.7629,1.04226,0.763453,257.75,-0.78,-0.51,-0.82,-0.84,-0.71,-0.14,-0.12,-0.65,-0.69,0.96,-0.94,-0.81,-0.66,-0.96,-1.13,-0.8,-0.22,0.27,-0.72,-1,1.97,-1.92,4
112,313054052,,Unspecified,,,,M-029708-01,389932,TAKR,1,A03,8679.29,1400.76,1.185e+07,398.038,411.97,0.611289,1.4304,139.991,101.344,0.784781,0.811261,154.75,5457.29,1561.66,8.70203e+06,419.099,333.836,0.595914,1.47951,115.178,80.6249,0.967752,0.779995,255.5,-0.75,-0.37,-0.74,-0.73,-0.93,0.84,-1.33,-1.13,-0.41,0.38,-0.59,-0.87,0.42,0.07,0.01,-0.57,-0.79,0.38,-0.56,-0.79,1.01,-0.96,4
113,313053902,,Unspecified,,,,M-009699-00,20,ABCA2,1,A08,11004.7,1251.51,1.23376e+07,386.599,465.29,0.594429,1.50773,160.337,109.278,0.779297,0.820277,80.5,6194.24,1513.47,9.27672e+06,438.826,348.547,0.612227,1.46089,119.873,84.5396,0.884773,0.797584,168.5,0.7,-0.88,-0.58,-0.88,0.54,-0.05,-0.33,0.43,0.61,0.32,-0.08,0.38,0.23,0.43,0.27,0.27,0.29,-0.03,0.22,0.14,-0.06,0.06,5
114,313053939,,Unspecified,,,,M-010612-02,4356,MPP3,1,F05,11211.2,1229.9,1.35973e+07,366.901,485.593,0.580893,1.5933,170.605,110.665,0.779115,0.800644,111.25,6892.1,1350.3,9.20096e+06,374.175,364.051,0.630142,1.38398,123.585,91.8983,0.879954,0.796373,179.5,0.83,-0.95,-0.17,-1.15,1.1,-0.76,0.77,1.22,0.79,0.32,-1.19,1.57,-0.41,0.38,-0.59,1.16,1.48,-1.72,0.84,1.9,-0.12,-0.01,5
115,313053950,,Unspecified,,,,M-006018-02,5664,PSEN2,2,G02,10153.2,1488.58,1.45698e+07,463.209,444.68,0.620516,1.45356,152.137,107.811,0.682919,0.833956,92,6291.01,1397.71,8.87686e+06,407.906,345.352,0.643476,1.38177,117.645,86.8672,0.895731,0.800177,137.5,0.17,-0.07,0.14,0.16,-0.02,1.33,-1.03,-0.2,0.42,-0.75,0.7,0.54,-0.22,0.18,-0.14,0.09,2.37,-1.76,-0.15,0.7,0.08,0.21,5
116,313053959,,Unspecified,,,,M-003183-02,7301,TYRO3,2,C08,10408.2,1601.83,1.64952e+07,502.41,456.244,0.606392,1.46673,156.664,110.944,0.631193,0.83603,97.5,5825.74,1534.91,8.84921e+06,401.837,336.912,0.624449,1.38903,114.597,84.6259,0.801646,0.802066,191,0.33,0.32,0.76,0.7,0.29,0.58,-0.86,0.15,0.83,-1.32,0.82,-0.25,0.31,0.16,-0.22,-0.4,1.11,-1.61,-0.65,0.16,-1.13,0.32,5
117,313053975,,Unspecified,,,,M-003002-02,10000,AKT3,2,G11,10524.4,2091.55,2.045e+07,490.74,458.135,0.601194,1.5216,159.589,108.039,0.611747,0.844546,92.25,5884.85,1791.31,1.04728e+07,426.257,337.129,0.624285,1.39879,114.888,84.8118,0.800516,0.81025,225.5,0.4,1.99,2.04,0.54,0.35,0.31,-0.16,0.37,0.45,-1.54,1.3,-0.15,1.31,1.19,0.11,-0.38,1.1,-1.39,-0.6,0.21,-1.15,0.79,5
118,313053978,,Unspecified,,,,M-010350-01,10390,CEPT1,1,B11,13111.7,1253.64,1.49441e+07,443.098,506.355,0.603043,1.51733,173.546,118.908,0.720966,0.829114,69.75,7101.16,1443.94,9.90769e+06,405.919,374.134,0.621362,1.38536,126.881,93.5814,0.885695,0.791674,155,1.38,-1.12,-0.17,-0.28,1.02,1.37,-0.53,0.87,1.42,0.02,0.04,1.92,-0.04,0.83,-0.17,1.73,0.9,-1.69,1.38,2.3,-0.05,-0.28,5
119,313053980,,Unspecified,,,,M-006782-01,10654,PMVK,1,G11,19449.2,861.441,9.73533e+06,311.77,566.849,0.645342,1.3675,184.36,145.865,1.22423,0.757152,52.75,6447.02,1530.89,9.76311e+06,407.873,352.71,0.627989,1.41311,120.893,88.1167,0.824661,0.801547,156.5,5.95,-2.21,-1.42,-1.91,3.34,2.64,-2.15,2.27,5.31,5.26,-3.66,0.81,0.3,0.74,-0.14,0.51,1.34,-1.08,0.39,1,-0.83,0.29,5
120,313053981,,Unspecified,,,,M-012744-01,10806,SDCCAG8,2,A10,11913.4,1661.67,1.93125e+07,486.429,483.159,0.614271,1.44342,164.979,115.84,0.682406,0.83985,83.75,7141.38,1468.89,1.04203e+07,419.789,376.139,0.607552,1.45093,129.351,91.2049,0.81001,0.81036,157.75,1.26,0.52,1.67,0.48,1.04,1,-1.17,0.79,1.45,-0.76,1.03,1.99,0.05,1.15,0.02,1.85,-0.02,-0.25,1.79,1.73,-1.02,0.8,5
121,313053987,,Unspecified,,,,M-003490-01,23291,FBXW11,2,E05,9522.53,1523.53,1.38394e+07,459.579,431.788,0.607686,1.51794,150.732,102.509,0.757797,0.818644,118.75,6197.25,1460.42,8.97542e+06,409.444,350.284,0.606781,1.43379,120.266,86.6427,0.843669,0.798188,192.75,-0.22,0.05,-0.1,0.11,-0.38,0.65,-0.2,-0.31,-0.26,0.08,-0.17,0.38,0.02,0.24,-0.12,0.37,-0.07,-0.62,0.29,0.64,-0.59,0.09,5
122,313053992,,Unspecified,,,,M-013606-01,25793,FBXO7,1,D09,11187.3,1058.19,1.13398e+07,404.074,475.473,0.60192,1.52402,164.407,111.938,0.703627,0.825754,85.25,5869.4,1286.82,7.5865e+06,454.318,341.455,0.614479,1.43283,117.131,84.6842,0.8148,0.812795,195.25,0.81,-1.54,-0.9,-0.65,0.82,0.35,-0.12,0.74,0.95,-0.52,0.23,0.45,-0.63,-0.3,-0.17,0.41,0.97,-1.12,0.29,0.95,-0.49,0.31,5
123,313053998,,Unspecified,,,,M-012448-01,29072,SETD2,2,B02,11690.8,1558.74,1.65977e+07,485.815,477.231,0.596621,1.51993,165.437,111.622,0.799052,0.816106,93.5,7213.82,1587,1.14225e+07,459.18,376.508,0.614535,1.41549,128.364,93.3855,0.910431,0.791754,139.75,1.12,0.17,0.79,0.47,0.87,0.07,-0.18,0.82,0.91,0.54,-0.31,2.11,0.51,1.79,0.55,1.87,0.45,-1.03,1.63,2.25,0.27,-0.28,5
124,313054005,,Unspecified,,,,M-013765-00,54577,UGT1A7,2,D02,14365.9,1942.81,2.73935e+07,528.903,530.466,0.613682,1.5068,182.367,125.552,0.626634,0.840211,48.75,8352.8,1863.19,1.58296e+07,606.665,402.17,0.618451,1.44995,138.141,99.156,0.702853,0.830259,92.5,2.79,1.48,4.27,1.06,2.34,0.97,-0.35,2.12,2.7,-1.37,1.05,4.05,1.59,4.58,2.51,3.33,0.71,-0.27,3.25,3.63,-2.41,1.95,5
125,313054010,,Unspecified,,,,M-015565-01,55846,ITFG2,2,F03,9987.43,1313.6,1.26881e+07,388.12,444.09,0.611742,1.47484,152.351,107.538,0.803062,0.80673,95.25,6512.01,1344.65,8.84979e+06,361.085,357.981,0.609981,1.41012,122.196,89.4949,0.886183,0.790212,166.25,0.06,-0.67,-0.47,-0.86,-0.04,0.87,-0.76,-0.18,0.39,0.59,-0.85,0.92,-0.43,0.16,-0.76,0.81,0.15,-1.14,0.61,1.33,-0.04,-0.37,5
126,313054029,,Unspecified,,,,M-016285-01,118788,PIK3AP1,1,G08,10763.9,1224.05,1.23725e+07,378.83,466.642,0.59691,1.53944,162.487,108.29,0.654862,0.830216,78.5,6650.72,1286.94,8.43827e+06,398.773,353.097,0.63957,1.39693,120.468,88.8597,0.843808,0.814365,139,0.55,-0.97,-0.57,-0.99,0.58,0.08,0.08,0.6,0.48,-1.06,0.49,1.16,-0.65,-0.1,-0.26,0.53,2.11,-1.43,0.32,1.17,-0.59,1.03,5
127,313054039,,Unspecified,,,,M-008684-00,151056,PLB1,1,G09,11535.4,1480.03,1.63933e+07,403.917,493.517,0.583744,1.56786,172.171,112.219,0.686072,0.831782,62.75,6791.94,1366.81,9.36312e+06,388.883,363.767,0.620062,1.43065,124.75,90.197,0.758477,0.810581,161.75,1.03,-0.1,0.73,-0.65,1.32,-0.61,0.44,1.34,0.99,-0.71,0.57,1.4,-0.34,0.48,-0.39,1.14,0.81,-0.69,1.03,1.49,-1.69,0.81,5
128,313054040,,Unspecified,,,,M-018770-01,151254,ALS2CR11,1,A06,10010.5,1361.5,1.35283e+07,405.408,440.373,0.617182,1.41342,150.186,109.005,0.76307,0.819536,119.5,6467.49,1429.76,9.18213e+06,396.701,356.964,0.605076,1.43905,122.454,87.453,0.775199,0.81578,194.5,0.08,-0.5,-0.2,-0.63,-0.14,1.15,-1.55,-0.35,0.58,0.14,-0.12,0.84,-0.1,0.37,-0.29,0.75,-0.18,-0.51,0.65,0.84,-1.47,1.11,5
129,313054047,,Unspecified,,,,M-031748-00,284058,KANSL1,1,E09,11808.5,966.278,1.14279e+07,353.059,489.309,0.610604,1.50783,168.908,114.626,0.766127,0.821516,62.25,6810.95,1026.13,7.02424e+06,304.509,354.339,0.659352,1.36017,120.412,90.3451,0.861562,0.798396,146.75,1.2,-1.85,-0.87,-1.34,1.21,0.81,-0.33,1.09,1.3,0.18,-0.01,1.43,-1.67,-1,-1.52,0.6,3.42,-2.24,0.31,1.53,-0.36,0.11,5
