PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,REAGENT_ID,ENTREZ_GENE_ID,NCBI_GENE_SYMBOL,PLATE,WELL,MIGRATION_AVERAGE_NORMALISED_TO_MOCK_HMBEC,MIGRATION_AVERAGE_NORMALISED_TO_MOCK_HDLEC,AVERAGE_CELL_COUNT_HMBEC,AVERAGE_CELL_COUNT_HDLEC,MIGRATION_BIN_HMBEC,MIGRATION_BIN_HDLEC,AVERAGE_CELL_COUNT_BIN_HMBEC,AVERAGE_CELL_COUNT_BIN_HDLEC,DOMINANT_CELL_ACTIVITY_BIN,EXCLUDED_WELL_FLAG_SUMMARY,REPLICATE_A_WELL_EXCLUDED,REPLICATE_B_WELL_EXCLUDED
RESULT_TYPE,,,,,,,STRING,TARGET_NCBI_GENE_ID,STRING,INTEGER,STRING,FLOAT,FLOAT,FLOAT,FLOAT,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING
RESULT_DESCR,,,,,,,Dharmacon GE reagent id,NCBI Entrez Gene database id of intended siRNA target gene,Official symbol of target NCBI Gene Id,Plate number,Well location,Migration data for each replicate normalised to Mock then averaged the normalised values across the 2 replicates.,Migration data for each replicate normalised to Mock then averaged the normalised values across the 2 replicates.,Cell count data for each replicate then averaged the values across the 2 replicates.,Cell count data for each replicate then averaged the values across the 2 replicates.,Migration binning classification: IMPAIRED (low migration score): value < 0.65 NC (no change): value > 0.65,Migration binning classification: IMPAIRED (low migration score): value < 0.65 NC (no change): value > 0.65,Cell count binning classification: LOW_CELL_COUNT (low cell number): value < 2500 NC (no change): value > 2500,Cell count binning classification: LOW_CELL_COUNT (low cell number): value < 3300 NC (no change): value > 3300,Dominant cell type migration binning classification: BEC_DOMINANT : if IMPAIRED in MIGRATION_BIN_HMBEC but NOT in MIGRATION_BIN_HDLEC LEC_DOMINANT : if IMPAIRED in MIGRATION_BIN_HDLEC but NOT in MIGRATION_BIN_HMBEC COMMON : if IMPAIRED in MIGRATION_BIN_HDLEC AND in MIGRATION_BIN_HMBEC NC (no change) : if NC in both cell types.,Wells are flagged with ONE REP when one of the two replicate wells were excluded,,
135,313053884,,Active,,,,M-018941-02,144501,KRT80,2,F05,0.70209,0.584124,4365,5941.5,NC,IMPAIRED,NC,NC,LEC_DOMINANT,,,
136,313053885,,Active,,,,M-022324-01,145873,MESP2,1,F06,0.536218,0.584821,3753.5,4875.75,IMPAIRED,IMPAIRED,NC,NC,COMMON,,,
137,313053886,,Active,,,,M-015629-02,147199,SCGB1C1,2,A04,0.631732,0.342078,3653.25,6060,IMPAIRED,IMPAIRED,NC,NC,COMMON,,,
138,313053887,,Active,,,,M-008684-00,151056,PLB1,1,G09,0.441625,0.658059,2889.75,4878.75,IMPAIRED,NC,NC,NC,BEC_DOMINANT,,,
139,313053888,,Inactive,,,,M-018770-01,151254,ALS2CR11,1,A06,0.728822,0.704518,3684.75,5529,NC,NC,NC,NC,NC,,,
140,313053889,,Active,,,,M-017060-00,152185,SPICE1,2,B08,0.29553,0.625432,3034,4927.75,IMPAIRED,IMPAIRED,NC,NC,COMMON,,,
141,313053890,,Active,,,,M-010755-00,152189,CMTM8,1,C04,0.507505,0.778078,4087,6969,IMPAIRED,NC,NC,NC,BEC_DOMINANT,,,
142,313053891,,Active,,,,M-027202-01,154791,C7orf55,2,E03,-0.19875,0.248135,1910.75,3986,IMPAIRED,IMPAIRED,LOW_CELL_COUNT,NC,COMMON,,,
143,313053892,,Active,,,,M-015712-02,161497,STRC,2,B09,0.582921,0.717841,3751.75,5110.5,IMPAIRED,NC,NC,NC,BEC_DOMINANT,,,
144,313053893,,Active,,,,M-009998-01,201163,FLCN,2,E06,0.373586,0.649712,2805.25,5498.5,IMPAIRED,IMPAIRED,NC,NC,COMMON,,,
145,313053894,,Active,,,,M-016103-00,255252,LRRC57,2,F06,0.917462,0.573377,4395.5,4746,NC,IMPAIRED,NC,NC,LEC_DOMINANT,,,
146,313053895,,Active,,,,M-031748-00,284058,KANSL1,1,E09,0.61937,0.867049,2358.5,4323.25,IMPAIRED,NC,LOW_CELL_COUNT,NC,BEC_DOMINANT,,,
147,313053896,,Active,,,,M-007490-01,284129,SLC26A11,2,G06,0.662376,0.445918,4576,5873.25,NC,IMPAIRED,NC,NC,LEC_DOMINANT,,,
148,313053897,,Inactive,,,,M-010966-01,337876,CHSY3,1,C02,0.802157,0.761533,4698,6991.75,NC,NC,NC,NC,NC,,,
149,313053898,,Active,,,,M-031740-01,387601,SLC22A25,2,G05,0.638366,0.58552,3292.25,5418,IMPAIRED,IMPAIRED,NC,NC,COMMON,,,
150,313053899,,Active,,,,M-027454-02,388698,FLG2,1,D10,0.462087,0.535825,2865,5017.25,IMPAIRED,IMPAIRED,NC,NC,COMMON,,,
151,313053900,,Inactive,,,,M-029708-01,389932,TAKR,1,A03,0.787318,0.799957,4166.75,6378,NC,NC,NC,NC,NC,,,
152,313053901,,Active,,,,M-031997-00,390212,GPR152,2,E07,0.115684,0.10689,2584.25,3820.25,IMPAIRED,IMPAIRED,NC,NC,COMMON,,,
153,318171903,,Active,,,,M-036201-00,643905,PRR21,1,H04,0.855781,0.613065,4646.75,6469.75,NC,IMPAIRED,NC,NC,LEC_DOMINANT,,,
