"","mir","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","hsa-mir-100-5p",469962.64289207,-6.64829806784629,0.222076344017061,-29.9369935022684,6.49786938154617e-197,7.63499652331675e-194
"2","hsa-mir-372-3p",3319.15609178895,9.39133058737794,0.381482164543405,24.6180069745027,8.10398533220446e-134,4.76109138267012e-131
"3","hsa-mir-582-3p",1745.39792576311,-7.13135628476136,0.306033386709621,-23.3025434297726,4.17769205731465e-120,1.63626272244824e-117
"4","hsa-mir-125b-1-3p",719.75846925812,-6.6458673731868,0.333618798332217,-19.9205422668325,2.70050543312838e-88,7.93273470981463e-86
"5","hsa-mir-194-5p",2590.10953721321,3.57293307304748,0.203405750602076,17.5655460205609,4.52321063761395e-69,1.06295449983928e-66
"6","hsa-mir-192-5p",32576.9363059708,3.50200415155267,0.230525857619675,15.1913724027017,4.03384847784459e-52,7.89961993577898e-50
"7","hsa-mir-200a-3p",3196.8208389584,-3.48636725749833,0.233057943411208,-14.959229479456,1.35586777620823e-50,2.27592091006381e-48
"8","hsa-mir-200a-5p",1029.07556234093,-3.65053820793098,0.247662284176412,-14.7399844109113,3.5686712409313e-49,5.24148588511785e-47
"9","hsa-mir-1-3p",14835.9572769468,-2.66891185832058,0.203052757936387,-13.1439330617549,1.84387992342513e-39,2.40728767780503e-37
"10","hsa-mir-200b-3p",16455.6020921547,-2.92566058972007,0.228950428769694,-12.77857659163,2.15986174877246e-37,2.53783755480764e-35
"11","hsa-mir-379-5p",292.381039457622,-5.06406348553408,0.405800371460634,-12.4791987432306,9.69574188148317e-36,1.03568151915843e-33
"12","hsa-mir-429",499.532106987046,-3.81417994946389,0.312590813913491,-12.2018299313154,3.03916146412378e-34,2.97584560028786e-32
"13","hsa-mir-409-3p",226.252938612905,-3.13823825470329,0.27355959907283,-11.4718630431528,1.82683303802882e-30,1.53323487120276e-28
"14","hsa-mir-194-3p",125.414815413758,4.44856025476329,0.387762788064888,11.4723753585629,1.81604768968677e-30,1.53323487120276e-28
"15","hsa-mir-146a-5p",54121.4337410253,-2.30914688641309,0.204983820994347,-11.2650202109208,1.95307127605773e-29,1.52990583291189e-27
"16","hsa-mir-1247-5p",196.967711712487,-3.24992964387207,0.290156650683923,-11.200603660856,4.04964546079198e-29,2.97395838526911e-27
"17","hsa-mir-1247-3p",236.320100591669,-5.4726827317832,0.496949459899862,-11.0125539383542,3.32443937036308e-28,2.29777427069213e-26
"18","hsa-mir-381-3p",1007.75892725147,-2.79667681546103,0.260049846519247,-10.7543874872237,5.65081820091373e-27,3.68872854781869e-25
"19","hsa-mir-150-5p",93.7187656119645,5.74394978637882,0.538610434491677,10.6643863886517,1.49381805231559e-26,9.23808532353064e-25
"20","hsa-mir-582-5p",95.5421366216161,-5.95344065938018,0.57649253202572,-10.3270039569473,5.31962036726512e-25,3.12527696576826e-23
"21","hsa-mir-675-5p",96.5474041887156,4.94729498801613,0.488842970510897,10.1204175705864,4.48498063040461e-24,2.50945344796448e-22
"22","hsa-mir-147b",1488.17136953216,-3.83585523131194,0.4174672416293,-9.18839815153228,3.98734583223529e-20,2.12960516039839e-18
"23","hsa-mir-135a-5p",689.813837236474,2.0440825431741,0.222942957567022,9.16863472827842,4.79047519816996e-20,2.44730798167379e-18
"24","hsa-mir-133a-3p",291.403861409801,-2.21156097659457,0.245643496302593,-9.00313262871933,2.19367092687076e-19,1.07398472461381e-17
"25","hsa-mir-370-3p",67.5011259889727,-4.41149027055734,0.506497555990097,-8.70979576976199,3.04422778484667e-18,1.43078705887793e-16
"26","hsa-mir-134-5p",82.0249454765052,-3.45405830371338,0.40065716715664,-8.62098219339475,6.63822333652672e-18,2.99996631554573e-16
"27","hsa-mir-411-5p",80.9984858256863,-3.96188726927595,0.460656779863586,-8.60051874293303,7.93565868193699e-18,3.45348109306517e-16
"28","hsa-mir-371a-5p",123.987092209252,10.4906425865317,1.22102821046057,8.59164636546331,8.57319073173018e-18,3.59767825349391e-16
"29","hsa-mir-148a-3p",75336.9673116736,1.96677555048411,0.231100798769055,8.51046625957169,1.73235312504724e-17,7.01901697217418e-16
"30","hsa-mir-146a-3p",339.343200833804,-2.15774110677475,0.254073719132542,-8.49257890246067,2.02101508374032e-17,7.91564241131625e-16
"31","hsa-mir-543",68.6366959004916,-3.87741122997248,0.460610111309757,-8.41798982429403,3.82999042566661e-17,1.45168991940589e-15
"32","hsa-mir-126-5p",449.929392428849,-3.08738383100762,0.371933399387528,-8.30090504399898,1.03321251152687e-16,3.79382719076272e-15
"33","hsa-mir-200b-5p",65.8491025585098,-3.47511919093762,0.430221608828391,-8.07750963602527,6.61028075067486e-16,2.35366057031605e-14
"34","hsa-mir-126-3p",6284.16850201033,-2.38842548657107,0.299372683268532,-7.97810094259234,1.4860184741812e-15,5.13550502106737e-14
"35","hsa-mir-654-3p",64.8731274329652,-4.64253117070771,0.591866507330322,-7.84388221534674,4.36826854260667e-15,1.46649015358938e-13
"36","hsa-mir-495-3p",58.5385680553697,-3.90130497868186,0.498615877605098,-7.82426945050411,5.10613363449498e-15,1.666585283481e-13
"37","hsa-mir-155-5p",17161.7263265859,-2.08886198231515,0.268267246850622,-7.78649651359892,6.88928206806241e-15,2.18781254864144e-13
"38","hsa-let-7a-2-3p",65.2537984583561,-6.98485193153766,0.899922643376429,-7.76161371529793,8.38554833555872e-15,2.59289981428461e-13
"39","hsa-mir-125b-5p",21312.6603065052,-1.65009537698742,0.213901430892495,-7.7142792832309,1.21667789083754e-14,3.66563210701055e-13
"40","hsa-mir-323a-3p",71.9155953096317,-4.17712816101868,0.546766694991,-7.6396901992859,2.17745026330597e-14,6.39626014846127e-13
"41","hsa-mir-629-5p",401.939202526036,2.05505203190309,0.26998966381118,7.61159521032742,2.70733349865728e-14,7.75882161200563e-13
"42","hsa-mir-192-3p",37.611064011463,4.04829743801613,0.539293538578027,7.50666779485326,6.06513817896898e-14,1.69679460959251e-12
"43","hsa-mir-181a-2-3p",6999.23550195699,-1.72088947303012,0.238956942252187,-7.20167180250384,5.94787207967561e-13,1.62529062642299e-11
"44","hsa-mir-215-5p",219.816349184992,1.99515956911371,0.279465153917002,7.13920694995213,9.38709160625941e-13,2.50678014485337e-11
"45","hsa-mir-373-3p",38.0393506680416,8.78405756904948,1.24109446318327,7.07767041883285,1.46597861233195e-12,3.82783304331121e-11
"46","hsa-mir-148a-5p",315.757155528076,1.90804603071944,0.271393618220889,7.03054862980037,2.05723006354641e-12,5.25488114058051e-11
"47","hsa-mir-200c-3p",147.07719030279,1.94120554060387,0.276974089058762,7.00861783569952,2.40683870647967e-12,6.01709676619917e-11
"48","hsa-mir-889-3p",50.6003852680772,-4.03603058352357,0.587183937116166,-6.87353711231562,6.26292059680567e-12,1.53311077109305e-10
"49","hsa-mir-135a-3p",409.092095663635,1.59512248526589,0.232797349194865,6.85197873078304,7.2835387932586e-12,1.74656287389364e-10
"50","hsa-mir-221-3p",32221.4026118553,-1.45638726952909,0.216772317969538,-6.718511307951,1.83590498531972e-11,4.31437671550134e-10
"51","hsa-mir-3675-5p",56.249916253096,-2.9873125390177,0.457731879737445,-6.52633707910232,6.73975515694147e-11,1.55278672733455e-09
"52","hsa-mir-382-3p",43.7690037705006,-4.17112069861097,0.642875612169566,-6.48822356868437,8.68543340329891e-11,1.96257389401466e-09
"53","hsa-mir-409-5p",36.5983057555451,-3.29310163519628,0.518206947364322,-6.35480024331107,2.08697642336364e-10,4.62678735368355e-09
"54","hsa-mir-335-5p",186.543950069668,1.68943961622241,0.266365247297947,6.34256770866458,2.25966842832378e-10,4.916871117186e-09
"55","hsa-mir-363-3p",192.627259435568,1.87443302479965,0.297819545181258,6.29385497066296,3.09677177149563e-10,6.61583060274066e-09
"56","hsa-mir-371a-3p",37.9456146730263,7.81554374113743,1.2458219372955,6.27340353157039,3.53239822745011e-10,7.41172842366764e-09
"57","hsa-mir-3617-5p",49.1756125742307,-2.82944628594908,0.453121384612428,-6.24434507404504,4.25579512408495e-10,8.77291100140319e-09
"58","hsa-mir-5680",444.683652621565,-1.80213178255954,0.289171862617601,-6.23204403860921,4.6038800154478e-10,9.32682589336407e-09
"59","hsa-mir-4439",20.4932126321375,-7.76765283988887,1.27842225255099,-6.0759681117793,1.23241900616956e-09,2.45439378347328e-08
"60","hsa-mir-323b-3p",27.7017885117865,-4.2594555948666,0.70384563972665,-6.05168996503386,1.4333412787259e-09,2.80696000417154e-08
"61","hsa-mir-10a-5p",632351.353407315,1.16349543701118,0.194220794521135,5.99058118302862,2.09092467411158e-09,4.02760080669033e-08
"62","hsa-mir-302b-3p",13119.2157307692,1.44806470679529,0.242395661824319,5.97397121671592,2.31546671993056e-09,4.3881828966426e-08
"63","hsa-mir-95-3p",440.243060892949,-2.1599320399343,0.368008050858175,-5.86925213972208,4.37765262194391e-09,8.16466957267316e-08
"64","hsa-mir-100-3p",17.3253932967689,-7.52154339780001,1.28269176911643,-5.86387437644599,4.52189644171372e-09,8.30191924845878e-08
"65","hsa-let-7b-5p",12807.5639112232,-1.28052789934603,0.219318747025328,-5.83866138537689,5.2621895063255e-09,9.51241949220378e-08
"66","hsa-mir-9-5p",962.498585052504,1.22964311138253,0.211888202717386,5.80326368156802,6.50363925353708e-09,1.15784486710698e-07
"67","hsa-mir-302d-3p",5395.86667350787,1.36013936920252,0.237712341136226,5.72178694089368,1.05409445349657e-08,1.8485984818783e-07
"68","hsa-mir-365a-5p",149.254471035133,1.79846615924854,0.325056070564045,5.53278748533383,3.15181256662542e-08,5.44614671438951e-07
"69","hsa-mir-769-5p",7362.86622601676,-1.28172920159328,0.2326673734289,-5.50884802928744,3.61189553374712e-08,6.15069166978676e-07
"70","hsa-mir-494-3p",49.0902776104691,-2.73817564365626,0.497387808964623,-5.50511209624564,3.68933444147935e-08,6.19281138391177e-07
"71","hsa-mir-203b-3p",103.439141270454,1.63405555807423,0.304337025290536,5.36923023583565,7.9073419085213e-08,1.30860940035388e-06
"72","hsa-mir-758-3p",18.8953305824332,-4.77223409592281,0.892683016016797,-5.34594476460053,8.99466370839941e-08,1.46787914685685e-06
"73","hsa-mir-1293",36.0806623980653,2.29062073766998,0.429770017334171,5.32987562017126,9.82800518901851e-08,1.58190494480777e-06
"74","hsa-mir-135b-5p",6043.93302354449,1.15915107306775,0.218134245220933,5.31393441636699,1.07283243775666e-07,1.70348393832984e-06
"75","hsa-mir-181b-2-3p",90.1541897117244,-2.33678890658572,0.441879686897839,-5.28829221137286,1.23463633783066e-07,1.93426359593471e-06
